platform,keyword_used,category,video_id,video_title,video_description,comment_id,text_content,comment_date,source_url,country_context,location_geographic,clean_text,legality_type,legality_score
YouTube,big cat pet,Big Cat,j7yaYNZXq4s,Are Caracal&#39;s Good Pets?!,shortsfeed #cat #caracal.,Ugx5fNi0gYsboZPFdJF4AaABAg,"In Latvia, you can do that",2025-11-25T08:02:00Z,https://www.youtube.com/watch?v=j7yaYNZXq4s,US,US (text signal),in latvia you can do that,Legality Awareness,0.7446442246437073
YouTube,big cat pet,Big Cat,DMiK9CZ_1W0,Big Dog and Big Cat didn&#39;t get along with each other.,,UgwLfZUlObuA6nkbutV4AaABAg,Negligent. Absolutely no one in that room should own an animal.,2024-09-17T06:24:53Z,https://www.youtube.com/watch?v=DMiK9CZ_1W0,US,US (text signal),negligent absolutely no one in that room should own an animal,Legal Risk / Restriction,0.7754418849945068
YouTube,big cat pet,Big Cat,abuAUjFv88s,The Savannah: The Largest Domestic Cats in the World | Cats 101,The Savannah cat are large in size and look like a wildcat. The Savannah are a cross breed of the wild serval cat of Africa and a ...,UgwfC3uMTG0iV4dcxRl4AaABAg,"Banned in Georgia? Shame, you can't own a Savannah in Savannah...",2019-05-29T02:57:53Z,https://www.youtube.com/watch?v=abuAUjFv88s,US,Georgia,banned in georgia shame you can't own a savannah in savannah,Legal Risk / Restriction,0.7184669971466064
YouTube,big cat pet,Big Cat,abuAUjFv88s,The Savannah: The Largest Domestic Cats in the World | Cats 101,The Savannah cat are large in size and look like a wildcat. The Savannah are a cross breed of the wild serval cat of Africa and a ...,UgyUSDsCXozm0d4ufYJ4AaABAg,"So a Savannah cat isn't allowed in Savannah, Georgia, sad.",2020-11-11T06:56:41Z,https://www.youtube.com/watch?v=abuAUjFv88s,US,Georgia,so a savannah cat isn't allowed in savannah georgia sad,Legal Risk / Restriction,0.6390954852104187
YouTube,big cat pet,Big Cat,abuAUjFv88s,The Savannah: The Largest Domestic Cats in the World | Cats 101,The Savannah cat are large in size and look like a wildcat. The Savannah are a cross breed of the wild serval cat of Africa and a ...,Ugy9MNsJp72QC5W5T5d4AaABAg,Kind of funny that a cat called Savannah is banned in Georgia.,2017-12-03T02:35:12Z,https://www.youtube.com/watch?v=abuAUjFv88s,US,Georgia,kind of funny that a cat called savannah is banned in georgia,Legal Risk / Restriction,0.5239281058311462
YouTube,big cat pet,Big Cat,euc5Z7rjqTI,Actions were performed by a professional 😸,,UgycEHiXRh_AEs0abFt4AaABAg,"I already imagine a thief when he sneacks in😂😂😂

Leans to your bed, carefully, and wakes u up to have u call the police 😂😂",2024-12-25T02:33:44Z,https://www.youtube.com/watch?v=euc5Z7rjqTI,US,US (text signal),i already imagine a thief when he sneacks in leans to your bed carefully and wakes u up to have u call the police,Legality Awareness,0.6106368899345398
YouTube,big cat pet,Big Cat,UzjrqIoJBeU,Why Cheetahs Are Basically Turbocharged House Cats #animals #cheetah #cute,,Ugy9we0WpbLkALV-vY14AaABAg,For Anyone who is wondering: It is illegal to have a cheetah as a pet in the USA because they are considered endangered,2025-07-14T15:29:11Z,https://www.youtube.com/watch?v=UzjrqIoJBeU,US,US (text signal),for anyone who is wondering it is illegal to have a cheetah as a pet in the usa because they are considered endangered,Legal Risk / Restriction,0.5003365874290466
YouTube,tiger pet,Big Cat,l3uTcRlnrMM,🐯🐯🐯Don&#39;t even think about touching my child.😠😡 #tigercub #tiger #kitten  #cute #kitty #zoo #adorable,The daily of animal kindergarten    🦁️🦁️     ❤️❤️❤️ prohibiting abuse and trading ❤️❤️❤️ To clarify: All the little ...,Ugwuj22LQIzLAi6XcQ14AaABAg,"Why they have to be in jail ,they need freedom😢😢😢",2025-10-09T15:48:44Z,https://www.youtube.com/watch?v=l3uTcRlnrMM,US,US (text signal),why they have to be in jail they need freedom,Legal Risk / Restriction,0.6833024621009827
YouTube,tiger pet,Big Cat,l3uTcRlnrMM,🐯🐯🐯Don&#39;t even think about touching my child.😠😡 #tigercub #tiger #kitten  #cute #kitty #zoo #adorable,The daily of animal kindergarten    🦁️🦁️     ❤️❤️❤️ prohibiting abuse and trading ❤️❤️❤️ To clarify: All the little ...,Ugy5EJMS810ALAqDdy94AaABAg,I hate that they’re in a cage! 😢 It’s not natural.,2025-06-27T03:36:37Z,https://www.youtube.com/watch?v=l3uTcRlnrMM,US,US (text signal),i hate that they re in a cage it s not natural,Legal Risk / Restriction,0.5978783965110779
YouTube,tiger pet,Big Cat,y7NCAJZqzAw,That moment You realise You cannot outrun that tiger !,There is no way of running away from a tiger not even with crooked feet !,Ugy1sZ--RNZwA7VnnVB4AaABAg,"""Tenant may not keep pets weighing over 30 lbs.""
""No prob, it's just a cat.""
""Oh, ok, yeah, cats are fine.""
""Great! Can I get that in writing?""",2020-12-11T13:38:08Z,https://www.youtube.com/watch?v=y7NCAJZqzAw,US,US (text signal),tenant may not keep pets weighing over 30 lbs no prob it's just a cat oh ok yeah cats are fine great can i get that in writing,Legal Risk / Restriction,0.6323150992393494
YouTube,tiger pet,Big Cat,zET1_Y7DyxU,Mom&#39;s reaction to cub&#39;s call.,Tiger cubs short very Lovely cute. Pets . . . . . #Lovely #tigercub #babytiger #tigers #mylovingtiger #short #15second #Shorttime.,UgxJ0KtMQQYT4Y9Z5gJ4AaABAg,Locked up in Cages. Horrific!!!,2026-02-23T01:54:40Z,https://www.youtube.com/watch?v=zET1_Y7DyxU,US,US (text signal),locked up in cages horrific,Legal Risk / Restriction,0.8591548800468445
YouTube,tiger pet,Big Cat,cJFPNrnkNNs,Food time 😱😡#lion #tiger #zoo #animals #wildliferescue  #lion #sohailbiganimals #shortvideo,,Ugxx4TWMowOea9HDoL14AaABAg,Why is he there in the first place??,2026-02-22T03:56:36Z,https://www.youtube.com/watch?v=cJFPNrnkNNs,US,US (text signal),why is he there in the first place,Legal Risk / Restriction,0.6978594064712524
YouTube,lion pet,Big Cat,7slSx76DJdo,Arabian Billionaires with wild animals like lion as pet 😒,Streamdorm #petlion #arabian #saudiprince #richpeople #richlife #billionairelifestyle.,UgwPazuS-KQnj_Xh4Yx4AaABAg,i thought lions were illegal to have as pets in saudi arabia..??,2025-02-18T16:31:06Z,https://www.youtube.com/watch?v=7slSx76DJdo,US,US (text signal),i thought lions were illegal to have as pets in saudi arabia,Legal Risk / Restriction,0.4878612756729126
YouTube,lion pet,Big Cat,H2Y9_bp18Ys,He Put His Hand in a Lion’s Cage… 🦁😱 You Won’t Believe What Happened! 🚨 #Shorts,"Title: ""He Put His Hand in a Lion's Cage… You Won't Believe What Happened! #Shorts"" Description: A calm day turned ...",UgwacTQ-3rWXuK6gvzF4AaABAg,He is beautiful. And smart to . He was saying you are not suppose to put your hand in here .,2025-07-12T19:34:16Z,https://www.youtube.com/watch?v=H2Y9_bp18Ys,US,US (text signal),he is beautiful and smart to he was saying you are not suppose to put your hand in here,Legal Risk / Restriction,0.6792661547660828
YouTube,lion pet,Big Cat,H2Y9_bp18Ys,He Put His Hand in a Lion’s Cage… 🦁😱 You Won’t Believe What Happened! 🚨 #Shorts,"Title: ""He Put His Hand in a Lion's Cage… You Won't Believe What Happened! #Shorts"" Description: A calm day turned ...",Ugw6hgze6JDoO3Sa0vB4AaABAg,"He's like ""I really don't think your hands are supposed to be in here, kid""",2025-06-01T13:49:49Z,https://www.youtube.com/watch?v=H2Y9_bp18Ys,US,US (text signal),he's like i really don't think your hands are supposed to be in here kid,Legal Risk / Restriction,0.7362638711929321
YouTube,lion pet,Big Cat,F7FFcl1MOrE,"Mountain Lion Kills Pet Cat, Mean Mugs Family From Back Patio",,UgyYQMF_228eqjiLBed4AaABAg,"Handle it, or that could be your child next time.",2026-02-11T00:19:53Z,https://www.youtube.com/watch?v=F7FFcl1MOrE,US,US (text signal),handle it or that could be your child next time,Legal Risk / Restriction,0.6987864971160889
YouTube,lion pet,Big Cat,H1nQRnxXbuc,A tense moment with a pet lion ended in tragedy after a security guard&#39;s swift action.,,Ugx-R2DvrqwYrmYajYx4AaABAg,Wt-heck a firing gun/rifle doing with ordinary security guard like Is that legal? While in india not even police constables carry firing arms but just sticks.,2025-01-03T12:52:24Z,https://www.youtube.com/watch?v=H1nQRnxXbuc,US,US (text signal),wt heck a firing gun rifle doing with ordinary security guard like is that legal while in india not even police constables carry firing arms but just sticks,Legality Awareness,0.6579542756080627
YouTube,lion pet,Big Cat,H1nQRnxXbuc,A tense moment with a pet lion ended in tragedy after a security guard&#39;s swift action.,,Ugz8cpdUwNf2hmLOzRt4AaABAg,"BTW it can't be asiatic lion, as its only in India 800 in total today with restricted exchange with zoos (mixed breed asiatic lions) all pets lions of Pakistan must be African Lions. Yeah, it was skinner then a dog. Lions are @INR Rs.2.5 lacs that's cheap. Wonder why Indians don't have them as Pets.
Edit - Good it's banned to keep lions 😂 else common people would keep them in residential complex & defend same if it bit someone. 😅",2025-01-03T10:18:27Z,https://www.youtube.com/watch?v=H1nQRnxXbuc,US,US (text signal),btw it can't be asiatic lion as its only in india 800 in total today with restricted exchange with zoos mixed breed asiatic lions all pets lions of pakistan must be african lions yeah it was skinner then a dog lions are inr rs 2 5 lacs that's cheap wonder why indians don't have them as pets edit good it's banned to keep lions else common people would keep them in residential complex defend same if it bit someone,Legal Risk / Restriction,0.45988133549690247
YouTube,jaguar pet,Big Cat,-7-rH4IBKLE,Preposterous Pets: The Jaguar That Goes For A Walk In The Park,Preposterous Pets: The Jaguar That Goes For A Walk In The Park SUBSCRIBE: http://bit.ly/Oc61Hj DOGS are a man's best friend ...,UgzV9RnWDItBGNQHIkh4AaABAg,So yall telling me this man not a drug lord,2020-07-11T14:25:12Z,https://www.youtube.com/watch?v=-7-rH4IBKLE,US,US (text signal),so yall telling me this man not a drug lord,Legal Risk / Restriction,0.6909096837043762
YouTube,jaguar pet,Big Cat,vZqsHk9Oeys,The Jaguar is the most underrated cat,,Ugziaop6UT4xseVrBF94AaABAg,"Welp! Arizona, New Mexico and Texas are now on my no-fly list.",2025-02-16T00:36:25Z,https://www.youtube.com/watch?v=vZqsHk9Oeys,US,Arizona,welp arizona new mexico and texas are now on my no fly list,Legal Risk / Restriction,0.6144125461578369
